title_x,total,date,Month,value,quarter,year,newDate
Red Bird,11,2023-01-01,jan,0, QTR 1,2023,2023-01-01
Red Bird,11,2023-01-01,feb,9, QTR 1,2023,2023-02-01
Red Bird,11,2023-01-01,march,2, QTR 1,2023,2023-03-01
Deharo,13,2023-01-01,jan,2, QTR 1,2023,2023-01-01
Deharo,13,2023-01-01,feb,5, QTR 1,2023,2023-02-01
Deharo,13,2023-01-01,march,6, QTR 1,2023,2023-03-01
Garland,20,2023-01-01,jan,8, QTR 1,2023,2023-01-01
Garland,20,2023-01-01,feb,9, QTR 1,2023,2023-02-01
Garland,20,2023-01-01,march,3, QTR 1,2023,2023-03-01
Gr Prairie,20,2023-01-01,jan,7, QTR 1,2023,2023-01-01
Gr Prairie,20,2023-01-01,feb,5, QTR 1,2023,2023-02-01
Gr Prairie,20,2023-01-01,march,8, QTR 1,2023,2023-03-01
Hatcher,25,2023-01-01,jan,4, QTR 1,2023,2023-01-01
Hatcher,25,2023-01-01,feb,11, QTR 1,2023,2023-02-01
Hatcher,25,2023-01-01,march,10, QTR 1,2023,2023-03-01
Irving,19,2023-01-01,jan,6, QTR 1,2023,2023-01-01
Irving,19,2023-01-01,feb,3, QTR 1,2023,2023-02-01
Irving,19,2023-01-01,march,10, QTR 1,2023,2023-03-01
Lakewest,25,2023-01-01,jan,6, QTR 1,2023,2023-01-01
Lakewest,25,2023-01-01,feb,9, QTR 1,2023,2023-02-01
Lakewest,25,2023-01-01,march,10, QTR 1,2023,2023-03-01
Maple,24,2023-01-01,jan,14, QTR 1,2023,2023-01-01
Maple,24,2023-01-01,feb,9, QTR 1,2023,2023-02-01
Maple,24,2023-01-01,march,1, QTR 1,2023,2023-03-01
Oakwest,26,2023-01-01,jan,9, QTR 1,2023,2023-01-01
Oakwest,26,2023-01-01,feb,12, QTR 1,2023,2023-02-01
Oakwest,26,2023-01-01,march,5, QTR 1,2023,2023-03-01
Southeast,30,2023-01-01,jan,6, QTR 1,2023,2023-01-01
Southeast,30,2023-01-01,feb,7, QTR 1,2023,2023-02-01
Southeast,30,2023-01-01,march,17, QTR 1,2023,2023-03-01
Total,213,2023-01-01,jan,62, QTR 1,2023,2023-01-01
Total,213,2023-01-01,feb,79, QTR 1,2023,2023-02-01
Total,213,2023-01-01,march,72, QTR 1,2023,2023-03-01
Red Bird,10,2023-04-01,april,0, QTR 2,2023,2023-04-01
Red Bird,10,2023-04-01,may,4, QTR 2,2023,2023-05-01
Red Bird,10,2023-04-01,june,6, QTR 2,2023,2023-06-01
Deharo,28,2023-04-01,april,10, QTR 2,2023,2023-04-01
Deharo,28,2023-04-01,may,5, QTR 2,2023,2023-05-01
Deharo,28,2023-04-01,june,13, QTR 2,2023,2023-06-01
Garland,27,2023-04-01,april,9, QTR 2,2023,2023-04-01
Garland,27,2023-04-01,may,9, QTR 2,2023,2023-05-01
Garland,27,2023-04-01,june,9, QTR 2,2023,2023-06-01
Gr Prairie,20,2023-04-01,april,9, QTR 2,2023,2023-04-01
Gr Prairie,20,2023-04-01,may,7, QTR 2,2023,2023-05-01
Gr Prairie,20,2023-04-01,june,4, QTR 2,2023,2023-06-01
Hatcher,23,2023-04-01,april,9, QTR 2,2023,2023-04-01
Hatcher,23,2023-04-01,may,6, QTR 2,2023,2023-05-01
Hatcher,23,2023-04-01,june,8, QTR 2,2023,2023-06-01
Irving,32,2023-04-01,april,17, QTR 2,2023,2023-04-01
Irving,32,2023-04-01,may,8, QTR 2,2023,2023-05-01
Irving,32,2023-04-01,june,7, QTR 2,2023,2023-06-01
Lakewest,26,2023-04-01,april,10, QTR 2,2023,2023-04-01
Lakewest,26,2023-04-01,may,9, QTR 2,2023,2023-05-01
Lakewest,26,2023-04-01,june,7, QTR 2,2023,2023-06-01
Maple,0,2023-04-01,april,0, QTR 2,2023,2023-04-01
Maple,0,2023-04-01,may,0, QTR 2,2023,2023-05-01
Maple,0,2023-04-01,june,0, QTR 2,2023,2023-06-01
Oakwest,21,2023-04-01,april,9, QTR 2,2023,2023-04-01
Oakwest,21,2023-04-01,may,6, QTR 2,2023,2023-05-01
Oakwest,21,2023-04-01,june,6, QTR 2,2023,2023-06-01
Southeast,38,2023-04-01,april,16, QTR 2,2023,2023-04-01
Southeast,38,2023-04-01,may,10, QTR 2,2023,2023-05-01
Southeast,38,2023-04-01,june,12, QTR 2,2023,2023-06-01
Total,225,2023-04-01,april,89, QTR 2,2023,2023-04-01
Total,225,2023-04-01,may,64, QTR 2,2023,2023-05-01
Total,225,2023-04-01,june,72, QTR 2,2023,2023-06-01
Red Bird,15,2023-07-01,july,7, QTR 3,2023,2023-07-01
Red Bird,15,2023-07-01,august,4, QTR 3,2023,2023-08-01
Red Bird,15,2023-07-01,sep,4, QTR 3,2023,2023-09-01
Deharo,24,2023-07-01,july,8, QTR 3,2023,2023-07-01
Deharo,24,2023-07-01,august,9, QTR 3,2023,2023-08-01
Deharo,24,2023-07-01,sep,7, QTR 3,2023,2023-09-01
Garland,10,2023-07-01,july,5, QTR 3,2023,2023-07-01
Garland,10,2023-07-01,august,5, QTR 3,2023,2023-08-01
Garland,10,2023-07-01,sep,0, QTR 3,2023,2023-09-01
Gr Prairie,21,2023-07-01,july,7, QTR 3,2023,2023-07-01
Gr Prairie,21,2023-07-01,august,9, QTR 3,2023,2023-08-01
Gr Prairie,21,2023-07-01,sep,5, QTR 3,2023,2023-09-01
Hatcher,30,2023-07-01,july,9, QTR 3,2023,2023-07-01
Hatcher,30,2023-07-01,august,13, QTR 3,2023,2023-08-01
Hatcher,30,2023-07-01,sep,8, QTR 3,2023,2023-09-01
Irving,9,2023-07-01,july,2, QTR 3,2023,2023-07-01
Irving,9,2023-07-01,august,5, QTR 3,2023,2023-08-01
Irving,9,2023-07-01,sep,2, QTR 3,2023,2023-09-01
Lakewest,20,2023-07-01,july,3, QTR 3,2023,2023-07-01
Lakewest,20,2023-07-01,august,5, QTR 3,2023,2023-08-01
Lakewest,20,2023-07-01,sep,12, QTR 3,2023,2023-09-01
Maple,17,2023-07-01,july,1, QTR 3,2023,2023-07-01
Maple,17,2023-07-01,august,5, QTR 3,2023,2023-08-01
Maple,17,2023-07-01,sep,11, QTR 3,2023,2023-09-01
Oakwest,29,2023-07-01,july,5, QTR 3,2023,2023-07-01
Oakwest,29,2023-07-01,august,13, QTR 3,2023,2023-08-01
Oakwest,29,2023-07-01,sep,11, QTR 3,2023,2023-09-01
Southeast,24,2023-07-01,july,7, QTR 3,2023,2023-07-01
Southeast,24,2023-07-01,august,9, QTR 3,2023,2023-08-01
Southeast,24,2023-07-01,sep,8, QTR 3,2023,2023-09-01
Total,199,2023-07-01,july,54, QTR 3,2023,2023-07-01
Total,199,2023-07-01,august,77, QTR 3,2023,2023-08-01
Total,199,2023-07-01,sep,68, QTR 3,2023,2023-09-01
Red Bird,11,2023-10-01,oct,4, QTR 4,2023,2023-10-01
Red Bird,11,2023-10-01,nov,3, QTR 4,2023,2023-11-01
Red Bird,11,2023-10-01,dec,4, QTR 4,2023,2023-12-01
Deharo,24,2023-10-01,oct,7, QTR 4,2023,2023-10-01
Deharo,24,2023-10-01,nov,7, QTR 4,2023,2023-11-01
Deharo,24,2023-10-01,dec,10, QTR 4,2023,2023-12-01
Garland,43,2023-10-01,oct,11, QTR 4,2023,2023-10-01
Garland,43,2023-10-01,nov,13, QTR 4,2023,2023-11-01
Garland,43,2023-10-01,dec,19, QTR 4,2023,2023-12-01
Gr Prairie,14,2023-10-01,oct,3, QTR 4,2023,2023-10-01
Gr Prairie,14,2023-10-01,nov,3, QTR 4,2023,2023-11-01
Gr Prairie,14,2023-10-01,dec,8, QTR 4,2023,2023-12-01
Hatcher,36,2023-10-01,oct,17, QTR 4,2023,2023-10-01
Hatcher,36,2023-10-01,nov,11, QTR 4,2023,2023-11-01
Hatcher,36,2023-10-01,dec,8, QTR 4,2023,2023-12-01
Irving,13,2023-10-01,oct,0, QTR 4,2023,2023-10-01
Irving,13,2023-10-01,nov,6, QTR 4,2023,2023-11-01
Irving,13,2023-10-01,dec,7, QTR 4,2023,2023-12-01
Lakewest,22,2023-10-01,oct,8, QTR 4,2023,2023-10-01
Lakewest,22,2023-10-01,nov,9, QTR 4,2023,2023-11-01
Lakewest,22,2023-10-01,dec,5, QTR 4,2023,2023-12-01
Maple,34,2023-10-01,oct,12, QTR 4,2023,2023-10-01
Maple,34,2023-10-01,nov,11, QTR 4,2023,2023-11-01
Maple,34,2023-10-01,dec,11, QTR 4,2023,2023-12-01
Oakwest,27,2023-10-01,oct,7, QTR 4,2023,2023-10-01
Oakwest,27,2023-10-01,nov,8, QTR 4,2023,2023-11-01
Oakwest,27,2023-10-01,dec,12, QTR 4,2023,2023-12-01
Southeast,28,2023-10-01,oct,8, QTR 4,2023,2023-10-01
Southeast,28,2023-10-01,nov,10, QTR 4,2023,2023-11-01
Southeast,28,2023-10-01,dec,10, QTR 4,2023,2023-12-01
Total,252,2023-10-01,oct,77, QTR 4,2023,2023-10-01
Total,252,2023-10-01,nov,81, QTR 4,2023,2023-11-01
Total,252,2023-10-01,dec,94, QTR 4,2023,2023-12-01
